kinase_inhibitor	H3K4me0	H3K4me1	H3K4me2	H3K4me3	H3K4ac1	H3K9me0K14ac0	H3K9me1K14ac0	H3K9me2K14ac0	H3K9me3K14ac0	H3K9ac1K14ac0	H3K9me0K14ac1	H3K9me1K14ac1	H3K9me2K14ac1	H3K9me3K14ac1	H3K9ac1K14ac1	H3K9me0S10ph1K14ac0	H3K9me1S10ph1K14ac0	H3K9me2S10ph1K14ac0	H3K9me3S10ph1K14ac0	H3K9ac1S10ph1K14ac0	H3K9me0S10ph1K14ac1	H3K9me1S10ph1K14ac1	H3K9me2S10ph1K14ac1	H3K9me3S10ph1K14ac1	H3K9ac1S10ph1K14ac1	H3K18ac0K23ac0	H3K18ac1K23ac0	H3K18ac0K23ac1	H3K18ac1K23ac1	H3K18ub1K23ac0	H3K18ac0K23ub1	H3K27me0K36me0	H3K27me1K36me0	H3K27me1K36me1	H3K27me1K36me2	H3K27me1K36me3	H3K27me2K36me0	H3K27me2K36me1	H3K27me2K36me2	H3K27me2K36me3	H3K27me3K36me0	H3K27me3K36me1	H3K27me3K36me2	H3K27me3K36me3	H3K27ac1K36me0	H3K27ac1K36me1	H3K27ac1K36me2	H3K27ac1K36me3	H3.3K27me0K36me0	H3NORM(41-49)	H3NORM(41-49)	H3K56me0	H3K56me1	H3K56me2	H3K79me0	H3K79me1	H3K79me2	H3K27me0K36me1	H3K27me0K36me2	H3K27me0K36me3
IPI145_24	-2.14154	-2.17791	-2.08881	-2.15068	-2.28097	-1.81298	-2.20356	-1.89727	-2.23691	-2.49228	-2.17591	-2.30948	-2.11410	-2.43246	-2.70635	-2.59147	-2.51093	-2.57880	-2.41712	-3.38303	-2.58239	-2.47193	-2.84523	-2.54366	-3.70316	-2.11058	-2.65633	-2.22473	-2.70756	2.51228	-1.76488	-2.26161	-2.23928	-2.07978	-2.24507	-2.10223	-2.26728	-2.18605	-1.91776	-1.97915	-3.05549	-2.04847	-2.13155	-2.05816	-2.93747	-2.28137	-2.79396	-2.45212	-2.06260	-2.06539	-2.36200	-1.14090	-7.00704	-2.00128	-1.32204	-1.50410	-1.82797	-2.19321	-2.20841	-2.25552
lenalidomide_24	-1.91228	-1.90049	-1.66774	-1.72687	-1.98767	-1.74323	-1.92166	-1.70284	-1.72847	-2.03199	-1.88606	-1.94202	-1.52408	-1.86312	-2.30298	-2.24183	-2.11920	-2.20733	-2.04107	-2.37694	-2.09030	-2.21038	-2.33622	-2.20531	-2.28599	-1.79498	-2.22258	-1.79419	-2.32000	-2.34270	-1.73272	-1.88341	-2.01403	-2.01734	-1.87388	-1.88370	-2.01573	-1.99792	-1.85611	-2.02689	-2.25944	-2.06659	-1.86040	-2.10157	-1.90780	-2.19702	-2.23420	-2.07626	-1.69622	-1.90862	-2.03511	-1.50242	-2.58595	-1.68146	-1.68510	-1.75350	-1.75000	-1.89733	-1.78575	-1.95372
losmapimod_24	-0.90130	-0.88535	-0.55921	-0.62466	-0.74944	-0.82219	-0.80719	-0.66913	-0.73515	-0.93007	-0.85466	-0.89420	-0.72884	-0.92121	-1.15119	-1.44823	-1.22373	-1.31506	-1.01769	-1.23274	-1.70199	-1.38074	-1.42776	-1.14248	-1.69308	-0.98664	-1.20239	-1.05762	-1.32854	-1.13463	0.11338	-0.80341	-0.95532	-0.99921	-1.03143	-0.78566	-0.86126	-0.92548	-0.73392	-0.84762	-1.13368	-0.95229	-0.76770	-0.96976	-0.93719	-0.80716	-1.20035	-0.99437	-0.75329	-0.79776	-0.86927	-0.59900	-2.65860	-1.75834	-0.89792	-0.94859	-0.63332	-0.89922	-0.82329	-0.79544
Nilotinib_24	-2.34748	-2.53207	-2.23780	-2.44923	-2.50993	-2.16295	-2.28674	-2.10050	-2.17479	-2.60658	-2.49692	-2.62943	-2.24819	-2.56737	-2.98291	-3.61810	-3.46131	-3.23806	-2.75983	-3.89883	-2.12771	-3.06871	-3.41411	-2.85708	-1.97345	-2.05701	-2.75846	-2.33991	-3.03165	-3.37968	-3.27111	-2.57754	-2.54045	-2.51293	-2.34509	-2.21316	-2.43031	-2.44951	-2.34101	-2.46547	-2.89227	-2.54827	-2.23426	-2.51071	-2.68781	-3.08541	-3.20021	-2.84074	-2.36439	-2.42000	-2.59311	-1.90266	-3.03173	0.40078	-2.29266	-2.31101	-2.62633	-2.49369	-2.36434	-2.27720
Pazopanib_24	-1.03653	-1.07252	-0.91700	-0.93399	-1.00646	-0.96617	-1.01455	-1.04855	-0.99854	-0.87818	-0.83348	-0.96286	-0.87919	-1.01048	-1.02520	-2.27922	-2.06621	-1.97825	-1.70383	-1.65870	-2.26377	-1.84718	-1.94121	-1.54088	-1.95081	-0.84616	-0.92375	-0.83881	-0.88826	-1.18933	-0.27481	-0.92917	-1.11474	-1.27488	-1.08336	-1.00736	-0.99706	-1.00447	-1.00765	-0.96229	-0.96516	-0.99368	-0.92172	-1.01105	-0.77459	-0.94910	-1.14888	-1.04913	-0.92330	-1.05656	-1.18742	-0.69713	-2.27491	-0.47567	-1.04708	-1.07720	-1.00844	-1.15429	-1.14336	-1.17384
PD0325901_24	-0.53371	-0.38660	-0.18519	-0.29993	-0.27654	-0.38465	-0.38106	-0.42909	-0.37591	-0.07386	-0.31798	-0.42074	-0.26467	-0.22426	-0.18089	-0.32622	-0.50959	-0.84159	-0.88164	-0.40934	-0.55716	-0.75679	-0.89872	-0.90678	-0.55870	-0.58725	-0.91834	-0.44574	-0.38344	-0.16277	0.40904	-0.83406	-0.67263	-0.62479	-0.49772	-0.32759	-0.42761	-0.33498	-0.23268	-0.35058	-0.78599	-0.35135	-0.30922	-0.36014	-0.46425	-0.71523	-0.62501	-0.36289	-0.33538	-0.51169	-0.43734	0.04706	-1.63271	-0.22470	-0.05735	-0.00618	-0.16350	-0.74560	-0.59166	-0.36190
PD-0332991_24	-1.00914	-0.84113	-0.89959	-0.98482	-1.04779	-0.90419	-0.86553	-0.83492	-0.66000	-1.09228	-1.34961	-1.10156	-0.92139	-0.94451	-1.33743	-4.70142	-5.53878	-5.79692	-5.27649	-1.98560	-2.00306	-0.04671	-6.16701	-5.72212	-1.40069	-0.88213	-1.24950	-1.10441	-1.26541	-2.26532	-2.13504	-3.55417	-2.15638	-1.81649	-0.97077	-0.70570	-1.06728	-0.86385	-0.57600	-0.66983	-3.15045	-0.51069	-0.49231	-0.48944	-2.96558	-3.20125	-2.24901	-1.31370	-0.76143	-0.96225	-1.10234	-0.89446	-1.71852	-0.06110	-0.75107	-0.53207	-0.50270	-2.96043	-1.67348	-1.03919
Pravastatin_24	-0.94309	-0.99293	-0.85140	-1.06798	-1.08594	-0.55959	-0.95763	-0.84381	-1.20435	-1.11968	-0.99669	-1.00218	-0.87696	-1.18343	-1.07932	-2.03198	-1.66366	-1.25497	-1.19872	-3.14250	-1.97483	-1.95968	-1.48742	-1.26016	-2.93704	-1.06519	-1.43443	-0.96977	-1.30332	2.51228	-2.18404	-1.29247	-1.07547	-1.01122	-1.07153	-0.99283	-1.20910	-1.11049	-0.96537	-1.27793	-1.45905	-1.01738	-0.84659	-1.67923	-1.31241	-1.39327	-1.34959	-1.21590	-0.86355	-1.05296	-1.21571	-0.46672	0.23628	1.70213	-0.93463	-0.99254	-1.06982	-1.11386	-1.11379	-1.15140
PRI-724_24	-0.77762	-0.95173	-0.88633	-0.97014	-0.92711	-0.67300	-1.03294	-0.70014	-0.93314	-0.86585	-0.70085	-0.96535	-0.75806	-0.97693	-1.11969	-1.42789	-1.28957	-1.41801	-1.09000	-2.65493	-1.63287	-1.59280	-1.59770	-1.32108	-1.99000	-0.94911	-1.16329	-0.70668	-1.14887	-2.03749	0.51898	-1.16065	-0.73315	-0.80859	-0.86720	-0.70331	-0.87457	-0.81240	-0.78109	-0.93658	-0.97135	-0.81813	-0.67296	-0.84411	-0.57623	-1.20290	-1.20974	-0.98151	-0.56888	-0.62481	-0.99738	-0.11740	0.23628	-0.62119	-0.54904	-0.74682	-0.86447	-1.11913	-0.75540	-0.81049
PS-1145_24	-0.86532	-0.80187	-0.90390	-1.02422	-1.12466	-0.71334	-1.11841	-0.67630	-1.08888	-1.36860	-0.81489	-1.07255	-0.90510	-1.05977	-1.45707	-1.95522	-1.62919	-1.79012	-1.37791	-2.92718	-2.17279	-1.77971	-1.71631	-1.49164	-2.03309	-1.02979	-1.82240	-0.98290	-1.62532	2.51228	0.02009	-1.25663	-1.18296	-1.15037	-1.32862	-1.00902	-1.11883	-1.19878	-0.92020	-1.04822	-1.92947	-1.08800	-1.10976	-1.29699	-2.29903	-2.58455	-1.75134	-1.30728	-0.98928	-0.99861	-1.19393	-0.36345	-5.36493	0.09575	-0.97856	-1.00413	-1.02103	-1.18122	-1.28788	-1.26055
RO4929097_24	-0.11043	-0.09630	0.24127	0.02224	0.05684	-0.09815	0.04033	0.03971	-0.06173	0.06111	0.02154	-0.01999	0.02928	-0.13909	-0.15304	0.19310	0.18149	-0.04862	0.06634	0.13621	0.02552	0.05311	-0.14496	-0.03823	-0.32589	-0.21119	-0.35640	-0.18758	-0.33350	0.10807	0.46884	-0.08244	-0.19624	-0.24699	-0.05776	-0.10180	-0.11014	-0.00448	0.07375	-0.09645	-0.12743	-0.05293	0.07010	-0.42517	0.10649	-0.05361	-0.16701	-0.00339	0.20635	0.08918	0.01570	0.31329	-2.56188	-0.08659	0.11938	0.06626	0.35081	-0.07953	-0.06276	-0.06994
SCH 900776_24	-0.82724	-0.82791	-0.58000	-0.66582	-0.82187	-0.79166	-0.73278	-0.65750	-0.64280	-0.84558	-0.99106	-0.88301	-0.61133	-0.64995	-1.20614	-2.57847	-1.98905	-1.72713	-1.09652	-1.74403	-2.78850	-1.92511	-1.70665	-1.09340	-2.56558	-0.72251	-1.10646	-0.80420	-1.17515	-2.09986	-0.59474	-1.42422	-1.22881	-1.09828	-0.73501	-0.73372	-0.87203	-0.54966	-0.55438	-0.65824	-1.71455	-0.73496	-0.55148	-0.72481	-1.33785	-1.86047	-1.46322	-1.11929	-0.63213	-0.68838	-0.79754	-0.30727	-2.15379	-0.70384	-0.46682	-0.34608	-0.78793	-1.20434	-0.91253	-0.80144
Selumetinib_24	-1.77572	-1.80503	-1.80422	-1.88907	-1.83850	-1.67944	-1.73437	-1.71753	-1.70369	-1.52013	-1.58460	-1.77545	-1.51218	-1.76466	-1.68822	-1.72493	-2.08520	-2.23820	-2.41703	-2.77161	-1.94533	-1.96222	-2.31944	-2.44579	-1.76072	-1.60150	-1.78224	-1.52885	-1.89115	-1.60500	-0.74234	-2.15257	-1.97139	-1.96978	-1.76426	-1.59954	-1.87263	-1.72855	-1.61808	-1.70657	-1.07957	-1.82129	-1.72041	-1.85100	-0.93690	-2.11639	-2.10331	-1.83530	-1.61226	-1.63007	-1.93900	-1.63137	-2.40547	0.76241	-1.63295	-1.49939	-1.63347	-2.08321	-1.79077	-1.72590
SP600125_24	-0.74968	-0.71845	-0.73991	-0.86181	-0.88633	-0.71572	-0.90115	-0.39650	-0.77883	-1.20201	-0.91389	-0.90072	-0.60408	-0.69504	-1.27196	-2.64371	-1.81656	-1.93327	-1.63657	4.58276	-2.55969	-2.17396	-2.01084	-2.08221	3.22700	-0.52543	-1.24158	-0.69386	-1.35230	2.51000	0.79401	-1.82386	-1.20035	-0.82785	-0.88911	-0.44210	-0.92768	-0.65181	-0.32647	-0.58677	-2.23947	-0.42866	-0.20113	-0.43841	-1.74736	-1.85843	-1.88201	-1.22712	-0.68023	-0.51384	-0.84745	0.31203	-6.47016	1.37682	-0.08582	0.04183	-0.11413	-1.53184	-1.11629	-0.95034
staurosporine_24	-1.90761	-1.68425	-1.65342	-2.10314	-1.48410	-2.49619	-2.26540	-1.64769	-1.70266	-2.15027	-1.57957	-1.14563	-0.76753	-0.99442	-1.74950	-0.56062	-0.72224	-1.32881	-1.53444	4.58276	-0.06207	-0.04671	-1.48883	-0.16845	3.22700	-2.02861	-2.67972	-1.27452	-2.28380	2.51228	-2.00941	-4.31663	-2.64546	-1.92877	-1.77327	-1.63463	-1.92360	-1.64819	-1.28929	-1.61386	-4.72605	-1.27973	-1.21604	-1.78534	-3.93834	-2.09422	-2.43023	-2.20521	-3.41002	-1.69528	-1.94036	-0.88291	-6.60849	-0.60870	-1.27983	-1.36356	-1.55058	-3.33198	-2.39359	-2.51378
TG101348_24	-0.27023	-0.33119	-0.50485	-0.72049	0.03835	-0.08833	-0.28223	0.02065	-0.11465	-0.01089	-0.11333	-0.14381	0.13069	0.07430	-0.11385	-4.25028	-0.72224	-4.68690	-5.72149	-3.45703	-0.06207	-0.04671	-5.03796	-0.16845	3.22700	-0.29267	-0.37680	-0.01223	-0.38858	-2.02724	-2.41914	-2.30784	-0.83141	-0.40734	-0.34044	-0.11038	-0.20823	-0.11865	0.08457	-0.37408	-2.94827	-0.17517	-0.13255	-0.19293	-2.31840	-2.66872	-1.35400	-0.92647	-0.04935	-0.01238	-0.31834	0.66968	0.23628	1.28365	0.21082	0.22584	0.19884	-1.52104	-0.73085	-0.36860
Tofacitinib_24	-0.89510	-0.95506	-0.90021	-1.05852	-1.05475	-0.59246	-0.96104	-0.72190	-1.17984	-1.03335	-0.90587	-1.10624	-0.85294	-1.07832	-1.06301	-2.10235	-1.86708	-1.51699	-1.12735	-3.07476	-2.15500	-2.22478	-1.71799	-1.33321	-2.54826	-1.00259	-1.35159	-1.10069	-1.32191	-1.24405	-1.72145	-1.30469	-1.22855	-0.88131	-1.09455	-0.85347	-1.14680	-1.08841	-0.77226	-1.09440	-1.63587	-1.06435	-1.04210	-1.40929	-1.37680	-1.45044	-1.41968	-1.14192	-0.98127	-1.05714	-1.18978	-0.07707	0.23628	1.19952	-0.38122	-0.38316	-0.71673	-1.22099	-1.15462	-0.93040
vemurafenib_24	-0.57500	-0.70766	-0.61329	-0.73936	-0.56165	-0.32804	-0.87372	-0.50493	-0.85197	-0.66987	-0.55427	-0.73784	-0.56257	-0.65817	-0.65586	-1.40943	-1.31310	-1.12405	-0.79966	-0.86747	-1.55545	-1.33831	-1.02647	-0.83728	-1.68230	-0.81943	-1.01009	-0.65544	-0.89936	-0.48773	-1.95204	-0.99344	-0.82080	-0.77731	-1.02621	-0.68275	-0.76616	-0.89352	-0.67818	-0.94579	-0.98575	-0.71615	-0.89378	-1.23673	-0.86609	-0.41188	-1.18740	-0.95817	-0.64653	-0.66107	-0.92541	-0.34520	-5.84198	-0.55540	-0.69347	-0.72003	-0.36471	-0.92327	-0.91802	-0.82142
Verteporfin_24	-0.99380	-1.05406	-0.96974	-1.01058	-1.09961	-0.84268	-1.11530	-0.88168	-1.13702	-1.25868	-1.06332	-1.19661	-1.04502	-1.07335	-1.49622	-1.80493	-1.38250	-1.61009	-1.46655	-1.51513	-2.09984	-1.75747	-1.75386	-1.65440	-3.21773	-0.88404	-1.33610	-0.98949	-1.62335	-1.97966	-0.69487	-1.44588	-1.07222	-0.87421	-1.02988	-0.71914	-1.14077	-1.02821	-0.87645	-1.07989	-1.94798	-1.01537	-0.96950	-1.39630	-1.19957	-1.85693	-1.65881	-1.28676	-0.79627	-0.84119	-1.18096	-0.39897	0.23628	0.21148	-0.58768	-0.58221	-0.60849	-1.12617	-1.12298	-1.06960
vorinostat_24	-1.05087	-0.63639	-0.71148	-1.04018	-0.76531	-1.36928	-1.53967	-1.36405	-1.61712	-0.40001	-0.34850	-0.45294	-0.42844	-0.39431	0.81732	-2.93483	-2.76047	-2.92232	-2.69646	4.58276	-2.09123	-1.95795	-1.74578	-1.34310	-1.68711	-1.52815	-0.72061	-0.62209	-0.02718	2.51228	-0.55613	-2.18603	-1.71290	-1.63789	-1.53559	-0.93674	-1.35204	-1.15536	-0.94915	-1.23954	-1.49775	-0.86162	-0.78739	-1.28527	-1.18192	-0.99487	-0.82915	-0.30197	-1.03051	-1.01332	-1.37105	-0.14303	-5.75681	0.50647	-0.61642	-0.68099	-0.76960	-2.18667	-1.78740	-1.32539
VX-970_24	-0.29971	-0.24744	0.10573	0.04662	-0.08167	-0.11980	-0.31338	-0.03939	-0.11183	-0.28788	-0.17114	-0.23634	-0.06296	-0.28241	-0.37288	-0.91054	-0.70777	-0.56913	-0.41926	-0.50658	-0.99675	-0.80295	-0.88350	-0.61169	-0.72593	-0.31808	-0.43396	-0.29975	-0.53613	-0.64767	-0.09817	-0.53168	-0.29196	-0.40132	-0.38522	-0.17538	-0.16418	-0.24479	-0.00530	-0.30186	-0.40658	-0.20568	-0.07777	-1.08928	-0.17023	-0.55357	-0.57740	-0.37763	0.01790	-0.11560	-0.18826	0.18382	-0.27324	-1.24742	-0.08322	-0.20655	0.10653	-0.33498	-0.23597	-0.16329
